Name,Title,Pad Layout,Difficulty,Rating,Arrow Count,Jump Count,Step Count,Duration,Stop Count,Min BPM,Max BPM,Absolute Rotation,Net Rotation,Absolute Distance,Jumps In Place,Jumps Half In Place,Jumps Full Move,Steps Repeated,Steps Marching,Steps Move,Mean Seconds Before: Jumps In Place,StdDev Seconds Before: Jumps In Place,Mean Beats Before: Jumps In Place,StdDev Beats Before: Jumps In Place,Mean Seconds Before: Jumps Half In Place,StdDev Seconds Before: Jumps Half In Place,Mean Beats Before: Jumps Half In Place,StdDev Beats Before: Jumps Half In Place,Mean Seconds Before: Jumps Full Move,StdDev Seconds Before: Jumps Full Move,Mean Beats Before: Jumps Full Move,StdDev Beats Before: Jumps Full Move,Mean Seconds Before: Steps Repeated,StdDev Seconds Before: Steps Repeated,Mean Beats Before: Steps Repeated,StdDev Beats Before: Steps Repeated,Mean Seconds Before: Steps Marching,StdDev Seconds Before: Steps Marching,Mean Beats Before: Steps Marching,StdDev Beats Before: Steps Marching,Mean Seconds Before: Steps Move,StdDev Seconds Before: Steps Move,Mean Beats Before: Steps Move,StdDev Beats Before: Steps Move
iFUTURELIST(DDR VERSION),AKIRA YAMAOKA,dance-single,Easy,4,139,10,129,84.00448023894609,0,149.992,149.992,58.90486225480861,13.351768777756622,82.73149339882613,3,6,1,39,31,49,0.533361779294894,0.18857186548256988,1.3333333333333333,0.4714045207910317,0.40002133447117255,3.1887118000420796E-15,1.0,0.0,0.4000213344711714,0.0,1.0,0.0,0.49233395011836567,0.16853900644090736,1.2307692307692308,0.4213250442347428,0.6193878727295566,0.2844720451978773,1.5483870967741935,0.7111421833886646,0.5959501513550106,0.2695257872673349,1.489795918367347,0.6737785313967012
iFUTURELIST(DDR VERSION),AKIRA YAMAOKA,dance-single,Medium,6,210,11,199,87.60467224918663,0,149.992,149.992,117.80972450961706,-15.707963267948966,108.18733752154205,5,6,0,41,45,102,0.40002133447117244,2.6586306569918105E-15,1.0,0.0,0.4000213344711708,4.882772979318051E-15,1.0,0.0,0.0,0.0,0.0,0.0,0.48173300950034437,0.4774111394130628,1.204268292682927,1.1934641937140686,0.3877984603623306,0.19125046645999022,0.9694444444444444,0.4781006660877811,0.359823112134608,0.16673033657005198,0.8995098039215687,0.4168036107135868
iFUTURELIST(DDR VERSION),AKIRA YAMAOKA,dance-single,Hard,8,317,33,284,89.4547709211158,0,149.992,149.992,201.84732799314375,-35.34291735288519,158.39191898578733,7,21,5,42,63,146,0.38216323918228107,0.04374322123578427,0.9553571428571429,0.10935222065996329,0.39406863604154163,0.026621276676420745,0.9851190476190477,0.06654964218749378,0.3750200010667246,0.05000266680889798,0.9375,0.125,0.42502266787561993,0.44673802037193544,1.0625,1.1167854858604545,0.257156572160039,0.12251573138365428,0.6428571428571429,0.3062729930282842,0.2570342564388821,0.1183475568467288,0.6425513698630136,0.29585311244257567
iFUTURELIST(DDR VERSION),AKIRA YAMAOKA,dance-double,Easy,4,160,6,154,87.60467224918663,0,149.992,149.992,106.82579694998829,-3.926990816987235,268.59216879572296,0,5,1,38,21,89,0.0,0.0,0.0,0.0,0.4800256013654064,0.1600085337884664,1.2,0.4000000000000001,0.4000213344711696,0.0,1.0,0.0,0.5895051244838323,0.47452752580143104,1.4736842105263157,1.1862555441668041,0.5143131443200785,0.2188521538877512,1.2857142857142858,0.5471012044321932,0.5438492300113684,0.22634336714313202,1.3595505617977528,0.5658282387422098
iFUTURELIST(DDR VERSION),AKIRA YAMAOKA,dance-double,Medium,6,200,14,186,88.0046935836578,0,149.992,149.992,139.80505716074774,3.926990816987244,343.8124987947462,5,9,0,30,27,115,0.40002133447117105,1.7406087768693023E-15,1.0,0.0,0.4000213344711708,5.296105184825656E-15,1.0,0.0,0.0,0.0,0.0,0.0,0.3666862232652406,0.1362260436670125,0.9166666666666666,0.3405469456950426,0.4592837543928272,0.22404775861877874,1.1481481481481481,0.5600895235124671,0.41480473161467185,0.3197978172650633,1.0369565217391303,0.7994519034536911
iFUTURELIST(DDR VERSION),AKIRA YAMAOKA,dance-double,Hard,8,313,31,282,89.4547709211158,0,149.992,149.992,209.83327795557332,8.63937979737194,486.57952216519993,9,19,3,37,43,171,0.3722420751328958,0.051970235451085305,0.9305555555555556,0.12991865926298407,0.4000213344711725,4.472044376978563E-15,1.0,0.0,0.4000213344711752,2.093538385630138E-15,1.0,0.0,0.3554243613713447,0.1580298875388413,0.8885135135135135,0.39505364819543176,0.25059476040272566,0.1099065002202006,0.626453488372093,0.27475159635047364,0.2802781060603933,0.2525186138972165,0.7006578947368421,0.6312628655945235
iFUTURELIST(DDR VERSION),AKIRA YAMAOKA,dance-single,Beginner,1,93,5,88,88.0046935836578,0,149.992,149.992,22.776546738526008,-8.63937979737193,49.49747468305827,1,2,2,50,14,19,1.200064003413516,0.0,3.0,0.0,1.200064003413516,0.0,3.0,0.0,1.600085337884682,3.552713678800501E-15,4.0,0.0,0.7360392554269564,0.433502070003011,1.84,1.0836973747315248,1.428647623111328,0.24909322460287533,3.5714285714285716,0.6226998490772392,1.452709056763729,0.506166586295325,3.6315789473684212,1.2653489768601376
iFUTURELIST(DDR VERSION),AKIRA YAMAOKA,dance-single,Challenge,9,406,57,349,89.4547709211158,0,149.992,149.992,244.2588288166058,-19.63495408493622,176.06958851545116,15,37,5,47,67,178,0.32335057869752937,0.11272493478926099,0.8083333333333333,0.28179730698184857,0.308800253130619,0.09747595251132324,0.7719594594594594,0.24367688448463928,0.45002400128007025,0.10000533361779063,1.125,0.25,0.28192992987994836,0.06139279788363213,0.7047872340425532,0.15347380900269691,0.192547582637243,0.09224233686336461,0.48134328358208955,0.23059354318016428,0.23259667481891144,0.2496592581100594,0.5814606741573034,0.6241148573740669
iFUTURELIST(DDR VERSION),AKIRA YAMAOKA,dance-double,Challenge,9,406,57,349,89.4547709211158,0,149.992,149.992,232.33767731282632,38.48451000647494,621.268746870875,20,34,3,51,65,176,0.3487686009920531,0.1026197386301794,0.871875,0.2565356639436318,0.3044280008659296,0.11205090339406583,0.7610294117647058,0.28011231836471245,0.40002133447117555,1.6748675057045027E-15,1.0,0.0,0.29266266749912967,0.09655013500035568,0.7316176470588235,0.24136246414955664,0.2015492108297057,0.10189875391364506,0.5038461538461538,0.25473329828359276,0.22458584154791253,0.24605385120521822,0.5614346590909091,0.6151018208328829
HEAVEN IS A PLACE ON EARTH,JULIA,dance-single,Beginner,1,79,4,75,83.46344925479063,0,140.9,140.9,30.6305283725005,-2.356194490192345,60.104076400856464,2,2,0,39,10,22,1.0645848119233499,0.2129169623846714,2.5,0.5,1.0645848119233499,0.2129169623846714,2.5,0.5,0.0,0.0,0.0,0.0,0.655129115029753,0.2331621608785561,1.5384615384615385,0.5475424744631442,1.1923349893541533,0.3712334089601712,2.8,0.8717797887081347,1.1420091618814125,0.5797140124603631,2.6818181818181817,1.3613617392610846
HEAVEN IS A PLACE ON EARTH,JULIA,dance-single,Easy,4,139,1,138,80.48261178140524,0,140.9,140.9,80.89601082993714,19.63495408493621,97.58073580374375,1,0,0,21,44,72,0.4258339247693357,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5475007604177238,0.19237215817712977,1.2857142857142858,0.45175395145262565,0.49358023098264386,0.15575337382506416,1.1590909090909092,0.3657608395325248,0.4790631653655072,0.17293815374039978,1.125,0.4061164310337068
HEAVEN IS A PLACE ON EARTH,JULIA,dance-single,Medium,6,232,20,212,83.46344925479063,0,140.9,140.9,120.16591899980938,5.497787143782139,111.72287142747481,12,6,2,26,61,105,0.28388928317956097,0.10037001862122814,0.6666666666666666,0.23570226039551587,0.3903477643718946,0.07934946690914876,0.9166666666666666,0.18633899812498247,1.0645848119233499,0.2129169623846714,2.5,0.5,0.42583392476934007,3.41656453831532E-15,1.0,0.0,0.3630059686558308,0.13545433625940212,0.8524590163934426,0.31809193298249616,0.37108384872756733,0.3514325715241193,0.8714285714285714,0.8252808221291396
